"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Sheets, Gavin","657757","2024","28","74","88","18","8","7","0","3","19","10",21.6,11.4,".243",".459",".352","0.811",".360",".369",50,8.9,35.7,"99.275986786","94.135271786",21,45.9
"Ohtani, Shohei","660271","2024","29","118","135","41","19","14","1","7","24","14",17.8,10.4,".347",".661",".410","1.071",".456",".492",45.8,24,62.5,"107.473580625","99.110603958",23.4,47.6
"Acuña Jr., Ronald","660670","2024","26","97","118","25","19","5","0","1","27","18",22.9,15.3,".258",".340",".390","0.730",".342",".357",30,7.1,45.7,"102.884371429","95.791822319",29.5,46.9
"Montero, Elehuris","660707","2024","25","78","87","18","15","2","0","1","13","7",14.9,8,".231",".295",".287","0.582",".265",".284",29.9,3,38.8,"99.744267941","94.009724776",23.5,52.6
"Contreras, William","661388","2024","26","103","120","36","25","6","0","5","25","14",20.8,11.7,".350",".553",".433","0.986",".432",".381",27.8,11.4,59.5,"105.625145385","98.296713333",32.3,43.8
"Varsho, Daulton","662139","2024","27","83","94","20","9","5","0","6","24","11",25.5,11.7,".241",".518",".330","0.848",".370",".292",25.4,8.5,39,"99.258871333","93.791260678",24.3,46.5
"Hoerner, Nico","663538","2024","27","99","113","28","20","7","1","0","11","10",9.7,8.8,".283",".374",".363","0.737",".334",".341",38.2,0,33.7,"97.027935333","92.613530112",13.9,45.5
"Riley, Austin","663586","2024","27","103","114","23","12","8","1","2","29","9",25.4,7.9,".223",".379",".298","0.677",".304",".332",32.4,13.5,50,"103.360954865","96.039827027",29.7,49.8
"Mountcastle, Ryan","663624","2024","27","87","99","26","16","7","0","3","20","10",20.2,10.1,".299",".483",".364","0.847",".370",".378",30.4,11.6,46.4,"103.383469412","95.895931471",23.2,51
"Hayes, Ke'Bryan","663647","2024","27","96","112","27","20","6","0","1","19","13",17,11.6,".281",".375",".366","0.741",".336",".301",27.8,2.5,41.8,"100.103415128","94.153499103",16.7,43.3
"Tucker, Kyle","663656","2024","27","103","123","30","17","7","0","6","20","19",16.3,15.4,".291",".534",".402","0.936",".408",".424",47,13.3,49.4,"100.459328095","95.022278795",17.6,41.8
"India, Jonathan","663697","2024","27","81","98","18","14","2","1","1","20","14",20.4,14.3,".222",".309",".347","0.656",".307",".359",43.5,3.2,35.5,"98.887047097","93.569028525",15.1,33.1
"Raleigh, Cal","663728","2024","27","81","92","19","13","0","0","6","31","10",33.7,10.9,".235",".457",".315","0.772",".340",".302",27.5,15.7,54.9,"102.6760736","96.5941686",31.9,50.4
"Rodgers, Brendan","663898","2024","27","81","87","19","12","5","1","1","23","6",26.4,6.9,".235",".358",".287","0.645",".289",".286",27.6,6.9,39.7,"99.134242414","93.669558966",24.2,55
"Happ, Ian","664023","2024","29","92","108","21","14","5","1","1","25","15",23.1,13.9,".228",".337",".343","0.680",".314",".314",32.8,9,34.3,"100.863987353","94.828891045",22.8,45.5
"France, Ty","664034","2024","29","85","93","22","16","4","0","2","20","7",21.5,7.5,".259",".376",".312","0.688",".307",".365",45.5,9.1,53,"102.320577273","95.989297727",22.2,45.5
"Bohm, Alec","664761","2024","27","99","113","35","20","10","1","4","18","14",15.9,12.4,".354",".596",".434","1.030",".445",".385",38.3,7.4,39.5,"100.80585","94.758570741",13.8,45.1
"Peña, Jeremy","665161","2024","26","106","111","34","27","5","0","2","16","4",14.4,3.6,".321",".425",".351","0.776",".346",".348",35.6,3.3,40,"100.048030909","94.103925682",24.1,56.4
"Tatis Jr., Fernando","665487","2024","25","115","131","28","18","3","1","6","25","14",19.1,10.7,".243",".443",".328","0.771",".342",".392",31.9,12.1,52.7,"103.681564","96.287272",23.8,49.3
"Guerrero Jr., Vladimir","665489","2024","25","106","123","22","15","4","0","3","26","16",21.1,13,".208",".330",".317","0.647",".299",".357",23.8,10,52.5,"105.435372","97.337811519",26.2,46.9
"Soto, Juan","665742","2024","25","105","131","34","21","6","0","7","17","24",13,18.3,".324",".581",".443","1.024",".443",".439",34.4,17.8,56.7,"104.763477556","97.611247303",20.3,36.9
"Taveras, Leody","665750","2024","25","86","94","19","13","5","1","0","15","7",16,7.4,".221",".302",".280","0.582",".265",".301",36.1,1.4,34.7,"98.012681667","93.122520423",21.1,47.9
"Cabrera, Oswaldo","665828","2024","25","89","95","23","16","4","0","3","17","5",17.9,5.3,".258",".404",".295","0.699",".308",".275",31.5,2.7,32.9,"96.467238108","92.307516849",13.6,44.6
"Cruz, Oneil","665833","2024","25","104","112","25","19","3","0","3","41","8",36.6,7.1,".240",".356",".295","0.651",".289",".281",27,7.9,50.8,"103.693092188","96.227007143",30.5,44.9
"Valdez, Enmanuel","665839","2024","25","78","86","12","7","3","0","2","27","4",31.4,4.7,".154",".269",".188","0.457",".201",".286",32.7,9.1,43.6,"100.242813462","94.582539038",27.6,49.7
"Chisholm Jr., Jazz","665862","2024","26","99","112","24","17","5","0","2","31","13",27.7,11.6,".242",".354",".330","0.684",".309",".309",30.9,13.2,36.8,"100.205443636","94.336112273",27.6,43
"Giménez, Andrés","665926","2024","25","98","112","26","20","5","1","0","18","4",16.1,3.6,".265",".337",".333","0.670",".306",".292",28.9,1.2,25.3,"95.271988","91.66220725",26.6,56.8
"Jones, Nolan","666134","2024","26","92","101","15","9","4","1","1","36","9",35.6,8.9,".163",".261",".238","0.499",".225",".232",26.8,3.6,41.1,"100.565699643","94.689901071",27.7,39.1
"Kirilloff, Alex","666135","2024","26","77","87","20","11","5","3","1","18","7",20.7,8,".260",".442",".322","0.764",".332",".312",29.5,9.8,44.3,"100.782950968","95.187387541",31.2,48.9
"Benson, Will","666181","2024","26","91","102","18","6","7","1","4","40","11",39.2,10.8,".198",".429",".284","0.713",".314",".297",39.2,15.7,47.1,"100.732138846","94.754728235",36.2,48.7
"Bichette, Bo","666182","2024","26","101","110","21","14","5","1","1","17","7",15.5,6.4,".208",".307",".264","0.571",".258",".259",21.2,2.4,38.8,"99.60240907","94.021890353",18.5,56
"Julien, Edouard","666397","2024","25","86","99","21","9","5","0","7","30","12",30.3,12.1,".244",".547",".343","0.890",".387",".344",33.9,17.9,44.6,"101.166922857","94.775162679",27.8,37.8
"Morel, Christopher","666624","2024","25","96","108","21","14","3","1","3","21","11",19.4,10.2,".219",".365",".296","0.661",".293",".343",27.6,9.2,43.4,"101.907361842","95.134312105",27.9,50.5
"García, Adolis","666969","2024","31","100","110","29","15","7","0","7","27","7",24.5,6.4,".290",".570",".336","0.906",".389",".378",41.3,16,54.7,"104.206545526","97.270199733",29.3,52.3
"Gurriel Jr., Lourdes","666971","2024","30","108","116","30","20","5","0","5","19","8",16.4,6.9,".278",".463",".328","0.791",".349",".341",34.8,7.9,46.1,"100.799940222","94.749141011",20.1,50.2
"Arozarena, Randy","668227","2024","29","104","114","16","11","2","0","3","32","10",28.1,8.8,".154",".260",".228","0.488",".226",".286",26.4,6.9,37.5,"100.653385556","94.430997083",34,42.4
"Bleday, JJ","668709","2024","26","94","101","21","14","5","1","1","22","7",21.8,6.9,".223",".330",".277","0.607",".269",".248",31.9,2.8,26.4,"96.263582222","92.220481268",32.6,46.8
"Steer, Spencer","668715","2024","26","95","116","24","14","6","1","3","21","17",18.1,14.7,".253",".432",".379","0.811",".364",".382",37.3,8,50.7,"100.859372432","95.010627703",19.5,42.7
"Reynolds, Bryan","668804","2024","29","110","129","29","20","5","0","4","26","19",20.2,14.7,".264",".418",".372","0.790",".354",".388",35.7,10.7,38.1,"99.15469619","93.609569524",33.5,43.9
"Turang, Brice","668930","2024","24","82","92","27","20","5","0","2","12","9",13,9.8,".329",".463",".391","0.854",".379",".318",32.4,2.8,32.4,"97.269684412","92.814587463",11,46.1
"Rutschman, Adley","668939","2024","26","105","114","34","28","3","0","3","16","7",14,6.1,".324",".438",".368","0.806",".359",".387",45.6,7.8,48.9,"99.828369778","94.630515778",18.1,47.9
"Melendez Jr., MJ","669004","2024","25","81","90","16","7","5","0","4","20","9",22.2,10,".198",".407",".278","0.685",".300",".329",23,11.5,39.3,"100.828281613","94.696069016",29.2,46.3
"Marsh, Brandon","669016","2024","26","82","89","24","15","2","1","6","28","6",31.5,6.7,".293",".561",".337","0.898",".387",".373",45.5,10.9,60,"102.510343571","96.718961455",25,43.1
"Langeliers, Shea","669127","2024","26","85","93","14","7","1","0","6","21","5",22.6,5.4,".165",".388",".215","0.603",".257",".351",36.4,16.7,42.4,"101.333289394","95.284985303",28,49.9
"Campusano, Luis","669134","2024","25","91","95","26","18","7","0","1","10","4",10.5,4.2,".286",".396",".316","0.712",".316",".278",25.9,2.5,30.9,"96.964158049","92.551322963",20.3,55.1
"Smith, Will","669257","2024","29","98","109","36","25","9","0","2","16","8",14.7,7.3,".367",".520",".404","0.924",".399",".354",40,8.2,42.4,"100.467922093","94.493449176",17.5,48
"Suwinski, Jack","669261","2024","25","88","99","16","10","4","0","2","18","10",18.2,10.1,".182",".295",".263","0.558",".246",".305",26.8,7,36.6,"101.400416571","94.700208286",17,49.6
"Gorman, Nolan","669357","2024","24","93","100","19","10","5","0","4","35","7",35,7,".204",".387",".260","0.647",".287",".332",44.8,13.8,39.7,"100.286745517","94.238963793",36.5,51.5
"Smith, Josh","669701","2024","26","79","91","24","14","9","0","1","14","8",15.4,8.8,".304",".456",".396","0.852",".382",".354",38.5,3.1,32.3,"97.45695875","92.728944219",15.5,48.2
"Triolo, Jared","669707","2024","26","91","103","20","17","2","0","1","22","11",21.4,10.7,".220",".275",".301","0.576",".268",".298",38.6,4.3,31.4,"97.534490571","92.839393286",25.4,49.7
"Lopez, Nicky","670032","2024","29","73","85","16","15","1","0","0","9","9",10.6,10.6,".219",".233",".313","0.546",".263",".281",27.3,1.5,21.2,"94.16547375","91.090223906",17.1,46.5
"Alvarez, Yordan","670541","2024","27","106","120","30","20","3","0","7","15","11",12.5,9.2,".283",".509",".358","0.867",".378",".451",33.7,16.3,50,"104.107073043","96.860467717",15.5,45.8
"Paredes, Isaac","670623","2024","25","98","111","26","17","3","0","6","21","9",18.9,8.1,".265",".480",".342","0.822",".359",".294",37.2,5.1,29.5,"96.223723077","92.116486795",20.3,48.6
"Casas, Triston","671213","2024","24","78","90","19","10","3","0","6","26","12",28.9,13.3,".244",".513",".344","0.857",".368",".310",28.8,11.5,42.3,"101.086155385","94.793663462",30.8,42.3
"García, Luis","671277","2024","24","82","87","24","16","7","0","1","16","5",18.4,5.7,".293",".415",".333","0.748",".333",".349",31.8,10.6,50,"101.580132121","95.290536212",21.6,48.7
"Freeman, Tyler","671289","2024","25","75","87","16","9","4","0","3","15","8",17.2,9.2,".213",".387",".310","0.697",".309",".342",36.1,9.8,52.5,"101.226624839","95.411949016",19,47.6
"Harris II, Michael","671739","2024","23","105","110","34","24","6","1","3","24","5",21.8,4.5,".324",".486",".355","0.841",".370",".324",32.1,4.9,44.4,"103.1591405","96.08074275",29.2,60.4
"Garcia, Maikel","672580","2024","24","108","119","24","16","3","1","4","22","9",18.5,7.6,".222",".380",".277","0.657",".290",".347",40.9,10.2,46.6,"101.347161136","95.124234545",17.6,43.5
"Diaz, Yainer","673237","2024","25","99","107","29","21","4","1","3","15","7",14,6.5,".293",".444",".336","0.780",".344",".313",22.4,3.5,49.4,"101.660615581","95.474476235",22.4,52.8
"Kim, Ha-Seong","673490","2024","28","106","125","24","14","4","2","4","21","17",16.8,13.6,".226",".415",".331","0.746",".323",".313",37.9,6.9,31,"97.568441395","92.848072353",15.3,36
"Westburg, Jordan","676059","2024","25","92","101","28","17","5","1","5","19","6",18.8,5.9,".304",".543",".360","0.903",".394",".422",39.2,12.2,56.8,"103.189043784","96.59500589",35.6,50
"Noda, Ryan","676116","2024","28","73","86","11","7","3","0","1","26","11",30.2,12.8,".151",".233",".271","0.504",".243",".256",20.8,2.1,29.2,"97.570426957","92.785213478",32.9,42.3
"Velázquez, Nelson","676369","2024","25","78","86","18","12","4","0","2","28","8",32.6,9.3,".231",".359",".302","0.661",".299",".302",34,6,40,"99.7393536","94.137749",41.3,43.7
"Caballero, José","676609","2024","27","91","98","24","16","5","1","2","23","1",23.5,1,".264",".407",".292","0.699",".307",".315",33.8,2.8,26.8,"96.850478235","92.501236716",30.1,52.4
"Rocchio, Brayan","677587","2024","23","76","86","15","8","7","0","0","16","7",18.6,8.1,".197",".289",".271","0.560",".256",".284",40.3,3.2,24.2,"96.389003","92.42252",23.5,53.1
"Rodríguez, Julio","677594","2024","23","105","112","29","25","3","0","1","36","6",32.1,5.4,".276",".333",".321","0.654",".298",".304",39.1,7.2,44.9,"102.275654","95.74373029",31.1,52.3
"Witt Jr., Bobby","677951","2024","24","113","122","35","19","8","4","4","25","7",20.5,5.7,".310",".558",".352","0.910",".392",".427",31.5,16.9,60.7,"106.028233111","98.524633596",25.8,51.3
"Tovar, Ezequiel","678662","2024","22","105","116","31","22","6","0","3","38","7",32.8,6,".295",".438",".348","0.786",".349",".277",37.7,7.2,40.6,"99.144962941","94.028314559",37.5,62.4
"Rafaela, Ceddanne","678882","2024","23","94","102","18","9","5","2","2","26","4",25.5,3.9,".191",".351",".225","0.576",".250",".275",39.4,8.5,35.2,"97.635238286","92.93505",30,59.8
"Torkelson, Spencer","679529","2024","24","103","116","22","14","8","0","0","24","10",20.7,8.6,".214",".291",".287","0.578",".266",".247",25,2.5,36.3,"99.3636045","93.68180225",27,45.1
"Kwan, Steven","680757","2024","26","113","119","39","31","5","0","3","11","6",9.2,5,".345",".469",".378","0.847",".376",".351",40.2,3.9,16.7,"93.68190375","90.901683333",7.5,44.2
"Duran, Jarren","680776","2024","27","119","132","30","21","6","2","1","30","10",22.7,7.6,".252",".361",".318","0.679",".306",".316",37.8,4.4,36.7,"99.683695111","94.13585809",23.3,50.3
"Jeffers, Ryan","680777","2024","27","77","91","22","12","5","0","5","17","6",18.7,6.6,".286",".545",".385","0.930",".406",".356",32.8,9.8,34.4,"99.25937","93.727604098",26.5,46.6
"Gelof, Zack","680869","2024","24","92","101","18","12","2","1","3","33","7",32.7,6.9,".196",".337",".260","0.597",".269",".284",28.3,8.3,36.7,"98.072908667","93.336311695",37.6,48.9
"Donovan, Brendan","680977","2024","27","100","118","23","14","6","1","2","17","10",14.4,8.5,".230",".370",".322","0.692",".311",".339",34.9,7,43,"98.78881","93.743788",12.6,37.4
"Stott, Bryson","681082","2024","26","81","91","17","14","1","1","1","17","8",18.7,8.8,".210",".284",".275","0.559",".255",".276",37.9,3,27.3,"96.143797576","92.176721231",22.9,43.6
"O'Hoppe, Logan","681351","2024","24","78","86","23","17","3","1","2","21","5",24.4,5.8,".295",".436",".353","0.789",".352",".344",39.7,8.6,43.1,"99.670964138","94.433438947",32.3,47.2
"Carpenter, Kerry","681481","2024","26","83","89","23","13","5","2","3","22","3",24.7,3.4,".277",".494",".318","0.812",".354",".364",39.3,11.5,47.5,"100.500911613","94.45304459",27.1,50.2
"Outman, James","681546","2024","27","77","86","14","9","3","0","2","26","8",30.2,9.3,".182",".299",".267","0.566",".261",".302",43.1,5.9,43.1,"100.983712692","94.784094118",30.7,49.7
"De La Cruz, Elly","682829","2024","22","92","110","26","13","5","1","7","35","17",31.8,15.5,".283",".587",".400","0.987",".427",".388",31.6,17.5,50.9,"104.387758214","96.887280536",34.6,41
"Abrams, CJ","682928","2024","23","93","104","28","14","4","4","6","19","9",18.3,8.7,".301",".624",".369","0.993",".420",".402",48,9.3,37.3,"99.355344324","93.894477703",19.6,54.4
"Greene, Riley","682985","2024","23","94","116","22","12","4","1","5","30","22",25.9,19,".234",".457",".379","0.836",".371",".390",42.2,18.8,43.8,"102.025192813","95.437246719",28.1,38.7
"Carroll, Corbin","682998","2024","23","102","118","20","17","2","0","1","19","15",16.1,12.7,".196",".245",".305","0.550",".264",".301",21.7,4.8,24.1,"96.629745952","92.656038675",18.6,44
"Henderson, Gunnar","683002","2024","23","106","119","32","17","3","3","9","30","7",25.2,5.9,".302",".642",".361","1.003",".426",".396",37.2,14.1,60.3,"104.905949744","97.896595",27.8,48.6
"Volpe, Anthony","683011","2024","23","106","121","29","22","4","1","2","26","11",21.5,9.1,".274",".387",".353","0.740",".335",".303",34.6,3.7,38.3,"98.83149425","93.534658228",17.3,43.6
"Baty, Brett","683146","2024","24","79","87","20","18","1","0","1","15","7",17.2,8,".253",".304",".322","0.626",".289",".286",29.7,3.1,28.1,"97.6883575","92.910354844",24.6,52.4
"Vaughn, Andrew","683734","2024","26","96","107","16","12","4","0","0","30","8",28,7.5,".167",".208",".243","0.451",".215",".268",31.3,3,37.3,"100.018531471","94.197391045",28.3,46.9
"Busch, Michael","683737","2024","26","87","99","25","15","4","0","6","32","9",32.3,9.1,".287",".540",".343","0.883",".379",".392",46.6,17.2,43.1,"100.816394138","95.157364912",29.2,47.2
"Frelick, Sal","686217","2024","24","91","102","24","22","2","0","0","23","10",22.5,9.8,".264",".286",".343","0.629",".295",".285",33.8,0,25,"96.433659412","92.337630294",17.5,40.5
"Pasquantino, Vinnie","686469","2024","26","91","109","20","11","5","0","4","12","16",11,14.7,".220",".407",".330","0.737",".329",".367",32.1,7.4,44.4,"100.330057073","94.698061852",13.4,40.7
"Doyle, Brenton","686668","2024","26","95","102","31","20","7","1","3","30","6",29.4,5.9,".326",".516",".373","0.889",".390",".297",40,6.2,44.6,"101.686244242","94.968706769",30.7,50.4
"Neto, Zach","687263","2024","23","90","97","20","12","7","0","1","29","6",29.9,6.2,".222",".333",".278","0.611",".276",".267",31.1,8.2,29.5,"98.966445806","93.669275738",30.3,54.5
"Encarnacion-Strand, Christian","687952","2024","24","102","108","20","12","6","0","2","31","3",28.7,2.8,".196",".314",".222","0.536",".236",".314",27.4,9.6,39.7,"100.421732778","94.62213375",29.4,54.2
"Keith, Colt","690993","2024","22","83","91","14","13","1","0","0","16","8",17.6,8.8,".169",".181",".242","0.423",".198",".299",31.3,6,32.8,"97.199550294","92.739368209",24,46
"Chourio, Jackson","694192","2024","20","87","95","18","12","2","0","4","33","6",34.7,6.3,".207",".368",".255","0.623",".276",".245",30.4,8.9,37.5,"97.895868929","93.047922182",32.6,50.1
"Schanuel, Nolan","694384","2024","22","76","89","16","15","0","0","1","17","9",19.1,10.1,".211",".250",".307","0.557",".265",".297",27.9,3.3,29.5,"95.492989333","91.747539833",16.5,36.4
"Carter, Evan","694497","2024","21","89","102","19","8","5","1","5","24","10",23.5,9.8,".213",".461",".304","0.765",".335",".311",34.8,7.6,34.8,"97.60705","92.810038485",22.2,39
"Langford, Wyatt","694671","2024","22","98","111","24","20","3","1","0","23","11",20.7,9.9,".245",".296",".324","0.620",".283",".306",32.9,6.6,34.2,"97.874951316","93.007606133",19.1,41
"Merrill, Jackson","701538","2024","21","91","101","28","23","3","1","1","17","9",16.8,8.9,".308",".396",".366","0.762",".338",".350",33.3,8,48,"100.571559474","94.674130267",16.7,51.8
"Yoshida, Masataka","807799","2024","30","78","87","21","16","3","0","2","11","6",12.6,6.9,".269",".385",".345","0.730",".331",".317",29.9,3,37.3,"98.626835294","93.440735821",15.4,41.1
"Lee, Jung Hoo","808982","2024","25","100","113","27","22","3","0","2","10","10",8.8,8.8,".270",".360",".336","0.696",".314",".334",27.2,3.3,46.7,"100.19977087","94.554848681",11,41.8
