"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Yoshida, Masataka","807799","2023","29","537","580","155","104","33","3","15","81","34",14,5.9,".289",".445",".338","0.783",".339",".325",29.5,6.6,40.6,"100.123813246","94.28056556",18.3,43.3
"Blackmon, Charlie","453568","2024","37","84","91","19","12","4","2","1","14","7",15.4,7.7,".226",".357",".286","0.643",".287",".284",27.1,7.1,32.9,"96.812658286","92.470188986",19.5,48.1
"Turner, Justin","457759","2024","39","81","96","25","15","8","0","2","17","11",17.7,11.5,".309",".481",".396","0.877",".386",".377",36.4,6.1,40.9,"98.701338788","93.576892879",19.2,45.1
"Santana, Carlos","467793","2024","38","83","93","15","9","3","0","3","18","8",19.4,8.6,".181",".325",".269","0.594",".267",".296",26.2,6.2,38.5,"98.915907576","93.880937385",25.6,44.4
"Goldschmidt, Paul","502671","2024","36","98","113","21","17","2","0","2","34","12",30.1,10.6,".214",".296",".306","0.602",".277",".312",42.2,4.7,37.5,"99.643155313","94.132514688",31.4,45.1
"Altuve, Jose","514888","2024","34","110","123","37","23","8","0","6","18","12",14.6,9.8,".336",".573",".407","0.980",".428",".369",40.2,10.9,37,"98.386199778","93.347921778",14.9,46.4
"Marte, Starling","516782","2024","35","104","111","30","22","4","0","4","24","6",21.6,5.4,".288",".442",".327","0.769",".341",".350",37,9.9,46.9,"102.254593077","95.518746104",27.9,50
"Freeman, Freddie","518692","2024","34","105","130","32","23","8","0","1","23","20",17.7,15.4,".305",".410",".423","0.833",".376",".393",48.8,8.3,40.5,"100.644916667","94.743235238",21.9,48.8
"Rizzo, Anthony","519203","2024","34","108","118","27","21","2","0","4","27","7",22.9,5.9,".250",".380",".314","0.694",".313",".292",29.6,4.9,33.3,"97.930533659","93.06288284",21.9,49
"Stanton, Giancarlo","519317","2024","34","87","94","21","10","5","0","6","30","7",31.9,7.4,".241",".506",".298","0.804",".350",".330",28.1,19.3,52.6,"105.552133448","97.93783807",33.5,47.6
"Perez, Salvador","521692","2024","34","100","109","35","23","5","0","7","13","8",11.9,7.3,".350",".610",".404","1.014",".436",".444",40.2,18.4,54,"102.720607045","96.391613563",18.8,58.8
"Ozuna, Marcell","542303","2024","33","96","109","34","19","6","0","9","19","13",17.4,11.9,".354",".698",".431","1.129",".482",".498",45.5,16.9,57.1,"103.492886667","96.963569481",29.4,48.2
"Semien, Marcus","543760","2024","33","115","126","30","19","6","0","5","14","11",11.1,8.7,".261",".443",".325","0.768",".341",".390",41.6,7.9,33.7,"97.547475098","92.957118812",17.6,51.1
"Springer III, George","543807","2024","34","101","115","23","16","4","0","3","13","14",11.3,12.2,".228",".356",".322","0.678",".309",".353",39.8,8,36.4,"99.622364773","93.924082045",20.2,47.4
"Trout, Mike","545361","2024","32","103","118","23","10","1","2","10","26","14",22,11.9,".223",".563",".322","0.885",".379",".409",41.6,18.2,41.6,"101.748855641","94.997737143",20.9,43.2
"Harper, Bryce","547180","2024","31","90","104","22","12","4","0","6","23","13",22.1,12.5,".244",".489",".337","0.826",".355",".352",30.9,10.3,48.5,"102.699909412","95.656934853",31.1,52.1
"Díaz, Elias","553869","2024","33","85","94","25","19","4","0","2","18","4",19.1,4.3,".294",".412",".340","0.752",".334",".285",37.7,5.8,27.5,"97.318079118","92.698035588",29,56.8
"Suárez, Eugenio","553993","2024","32","101","114","23","16","5","0","2","32","8",28.1,7,".228",".337",".298","0.635",".287",".292",42.3,5.6,35.2,"99.036300833","93.739392394",28.4,43.1
"Arenado, Nolan","571448","2024","33","102","114","29","22","6","0","1","15","8",13.2,7,".284",".373",".342","0.715",".321",".296",36,1.1,29.2,"95.976326444","92.05883764",20.4,43.9
"Haniger, Mitch","571745","2024","33","92","101","22","14","4","0","4","30","9",29.7,8.9,".239",".413",".307","0.720",".321",".325",35.5,11.3,43.5,"99.768166129","94.347944355",28.5,43
"Muncy, Max","571970","2024","33","89","108","23","12","6","0","5","34","15",31.5,13.9,".258",".494",".361","0.855",".369",".346",32.8,10.3,46.6,"101.275315172","94.940026897",33.7,41.9
"Walker, Christian","572233","2024","33","103","124","27","21","2","0","4","29","18",23.4,14.5,".262",".398",".379","0.777",".354",".371",34.7,13.3,48,"102.629652895","95.4471688",25.4,45.3
"Contreras, Willson","575929","2024","32","76","92","22","11","7","0","4","19","13",20.7,14.1,".289",".539",".413","0.952",".416",".390",31.6,10.5,40.4,"102.731083448","95.506402105",28.7,54
"Canha, Mark","592192","2024","35","88","108","24","13","6","0","5","20","15",18.5,13.9,".273",".511",".407","0.918",".405",".354",33.8,7.4,41.2,"99.129731471","93.812446176",18.8,37.5
"Castellanos, Nick","592206","2024","32","105","112","19","17","0","1","1","26","7",23.2,6.3,".181",".229",".232","0.461",".213",".231",31.6,3.8,36.7,"97.96309","93.157791646",36,61.3
"Judge, Aaron","592450","2024","32","105","128","20","9","6","0","5","36","21",28.1,16.4,".190",".390",".328","0.718",".320",".350",31.4,12.9,52.9,"104.98314","97.205443571",33.3,41.1
"Machado, Manny","592518","2024","31","103","112","26","19","3","0","4","27","9",24.1,8,".252",".398",".313","0.711",".314",".313",27.6,10.5,51.3,"102.784422368","95.984224605",25.4,48.9
"Realmuto, J.T.","592663","2024","33","93","101","22","15","3","0","4","26","6",25.7,5.9,".237",".398",".287","0.685",".303",".315",33.8,8.8,44.1,"101.271726176","94.785498676",27.6,50.6
"Bogaerts, Xander","593428","2024","31","118","129","25","20","3","0","2","23","11",17.8,8.5,".212",".288",".279","0.567",".261",".320",33.7,5.3,26.3,"96.495687083","92.306200316",14.7,40.8
"Polanco, Jorge","593871","2024","30","88","109","14","11","0","0","3","30","20",27.5,18.3,".159",".261",".321","0.582",".280",".316",29.3,5.2,37.9,"98.75292069","93.471428966",25.7,41.3
"Profar, Jurickson","595777","2024","31","95","113","28","19","6","0","3","19","16",16.8,14.2,".295",".453",".398","0.851",".380",".344",35.1,5.2,40.3,"100.349996842","94.557277467",19.9,45.1
"Báez, Javier","595879","2024","31","83","90","16","11","4","0","1","21","4",23.3,4.4,".193",".277",".233","0.510",".229",".274",32.8,4.7,40.6,"100.223722813","94.138005",29.8,53.3
"Lindor, Francisco","596019","2024","30","106","119","21","13","4","0","4","21","10",17.6,8.4,".198",".349",".277","0.626",".283",".322",25.6,5.8,40,"98.422205952","93.409720238",23.5,47.8
"Candelario, Jeimer","600869","2024","30","78","91","13","5","5","1","2","30","10",33,11,".167",".333",".275","0.608",".277",".258",30.6,4.1,32.7,"96.6648892","92.420861837",33.9,46.1
"Ahmed, Nick","605113","2024","34","84","89","22","18","3","1","0","16","3",18,3.4,".262",".321",".295","0.616",".278",".281",26.1,2.9,30.4,"96.637029697","92.426192424",22.2,53.3
"Bell, Josh","605137","2024","31","104","118","19","13","3","0","3","22","11",18.6,9.3,".183",".298",".274","0.572",".265",".271",20.7,3.7,37.8,"99.308305122","93.878984074",28.5,48
"Betts, Mookie","605141","2024","31","115","137","45","28","9","2","6","14","22",10.2,16.1,".391",".661",".489","1.150",".496",".440",49.5,6.9,47.5,"99.858643137","94.659263168",13.4,36.5
"Arcia, Orlando","606115","2024","29","94","101","29","18","9","0","2","16","4",15.8,4,".309",".468",".337","0.805",".351",".273",28.7,5,42.5,"99.46659725","93.8620955",23.3,52.5
"Hernández, Teoscar","606192","2024","31","109","121","29","18","5","0","6","41","10",33.9,8.3,".266",".477",".333","0.810",".357",".299",32.4,10.3,52.9,"102.023325882","95.777617206",33.6,50.3
